0,1,2,3,4,5,6,7,8,9,10,11
State Code,County Code,Site Number,POC WS,POC WD,POC TEMP,POC PM10,Latitude,Longitude,State Name,County Name,City Name
1.0,73.0,23.0,1.0,1.0,1.0,4.0,33.553056,-86.815,Alabama,Jefferson,Birmingham
2.0,90.0,34.0,1.0,1.0,1.0,1.0,64.84569,-147.727413,Alaska,Fairbanks North Star ,Fairbanks
2.0,90.0,34.0,nan,nan,2.0,3.0,64.84569,-147.727413,Alaska,Fairbanks North Star ,Fairbanks
4.0,13.0,9997.0,1.0,1.0,1.0,3.0,33.503833,-112.095767,Arizona,Maricopa,Phoenix
4.0,19.0,1018.0,1.0,1.0,1.0,1.0,32.425261,-111.06352,Arizona,Pima,Marana
4.0,19.0,1030.0,1.0,1.0,1.0,1.0,31.87952,-110.99644,Arizona,Pima,Green Valley
4.0,19.0,1113.0,1.0,1.0,1.0,1.0,32.251843,-110.965293,Arizona,Pima,Tucson
5.0,119.0,7.0,1.0,1.0,1.0,1.0,34.756189,-92.281296,Arkansas,Pulaski,North Little Rock
5.0,119.0,7.0,nan,nan,nan,2.0,34.756189,-92.281296,Arkansas,Pulaski,North Little Rock
6.0,7.0,8.0,1.0,1.0,2.0,3.0,39.76168,-121.84047,California,Butte,Chico
6.0,9.0,1.0,2.0,2.0,2.0,3.0,38.20185,-120.680277,California,Calaveras,San Andreas
6.0,11.0,1002.0,1.0,1.0,2.0,6.0,39.18919,-121.99887,California,Colusa,Colusa
6.0,17.0,11.0,3.0,3.0,2.0,5.0,38.944979,-119.970609,California,El Dorado,South Lake Tahoe
6.0,19.0,7.0,1.0,1.0,1.0,1.0,36.705474,-119.741332,California,Fresno,Not in a City
6.0,19.0,7.0,nan,nan,nan,2.0,36.705474,-119.741332,California,Fresno,Not in a City
6.0,19.0,11.0,2.0,2.0,2.0,3.0,36.78538,-119.77321,California,Fresno,Fresno
6.0,19.0,500.0,1.0,1.0,1.0,1.0,36.985119,-119.658339,California,Fresno,Not in a City
6.0,19.0,5001.0,1.0,1.0,1.0,3.0,36.819449,-119.716433,California,Fresno,Clovis
6.0,21.0,3.0,2.0,2.0,2.0,3.0,39.53387,-122.190834,California,Glenn,Not in a City
6.0,25.0,5.0,2.0,2.0,2.0,3.0,32.67618,-115.48307,California,Imperial,Calexico
6.0,25.0,10.0,1.0,1.0,1.0,1.0,33.379078,-116.015997,California,Imperial,Salton Sea Beach
6.0,25.0,1003.0,1.0,1.0,1.0,4.0,32.79222,-115.56306,California,Imperial,El Centro
6.0,25.0,4003.0,1.0,1.0,1.0,3.0,33.0325,-115.62361,California,Imperial,Westmorland
6.0,25.0,4004.0,1.0,1.0,1.0,3.0,33.213611,-115.54528,California,Imperial,Not in a City
6.0,27.0,2.0,1.0,1.0,1.0,1.0,37.360684,-118.330783,California,Inyo,Not in a City
6.0,27.0,2.0,nan,nan,nan,4.0,37.360684,-118.330783,California,Inyo,Not in a City
6.0,27.0,22.0,1.0,1.0,1.0,2.0,36.326172,-117.95512,California,Inyo,Not in a City
6.0,27.0,23.0,1.0,1.0,1.0,1.0,36.280597,-118.011661,California,Inyo,Olancha
6.0,27.0,25.0,1.0,1.0,1.0,2.0,36.366319,-117.897609,California,Inyo,Not in a City
6.0,27.0,26.0,1.0,1.0,1.0,1.0,36.361932,-118.01068,California,Inyo,Not in a City
6.0,27.0,28.0,1.0,1.0,1.0,1.0,36.54314,-117.941827,California,Inyo,Not in a City
6.0,27.0,30.0,1.0,1.0,1.0,1.0,36.458104,-117.851888,California,Inyo,Not in a City
6.0,27.0,31.0,1.0,1.0,1.0,1.0,36.607215,-118.05473,California,Inyo,Not in a City
6.0,27.0,1001.0,1.0,1.0,1.0,4.0,36.049402,-117.943927,California,Inyo,Not in a City
6.0,27.0,1003.0,1.0,1.0,1.0,4.0,36.487823,-117.871036,California,Inyo,Keeler
6.0,27.0,1003.0,nan,nan,nan,6.0,36.487823,-117.871036,California,Inyo,Keeler
6.0,27.0,1003.0,nan,nan,nan,7.0,36.487823,-117.871036,California,Inyo,Keeler
6.0,27.0,1023.0,1.0,1.0,1.0,4.0,37.362137,-118.417478,California,Inyo,Bishop
6.0,27.0,1028.0,1.0,1.0,1.0,1.0,36.834957,-118.226677,California,Inyo,Independence
6.0,29.0,14.0,1.0,1.0,2.0,7.0,35.356615,-119.062613,California,Kern,Bakersfield
6.0,29.0,18.0,1.0,1.0,1.0,1.0,35.642943,-117.715066,California,Kern,Ridgecrest
6.0,29.0,18.0,nan,2.0,nan,nan,35.642943,-117.715066,California,Kern,Ridgecrest
6.0,29.0,18.0,2.0,1.0,1.0,1.0,35.642943,-117.715066,California,Kern,Ridgecrest
6.0,29.0,18.0,nan,2.0,nan,nan,35.642943,-117.715066,California,Kern,Ridgecrest
6.0,29.0,19.0,1.0,1.0,2.0,2.0,35.046528,-118.162833,California,Kern,Mojave
6.0,29.0,232.0,2.0,2.0,2.0,3.0,35.438035,-119.016787,California,Kern,Oildale
6.0,31.0,4.0,1.0,1.0,1.0,8.0,36.102244,-119.56565,California,Kings,Corcoran
6.0,31.0,500.0,1.0,1.0,1.0,2.0,36.233274,-119.766212,California,Kings,Not in a City
6.0,31.0,1004.0,1.0,1.0,1.0,3.0,36.31567,-119.643447,California,Kings,Hanford
6.0,37.0,2.0,1.0,1.0,1.0,2.0,34.1365,-117.92391,California,Los Angeles,Azusa
6.0,37.0,1103.0,1.0,1.0,1.0,2.0,34.06659,-118.22688,California,Los Angeles,Los Angeles
6.0,37.0,1103.0,nan,nan,nan,3.0,34.06659,-118.22688,California,Los Angeles,Los Angeles
6.0,39.0,2010.0,1.0,1.0,1.0,3.0,36.953256,-120.034203,California,Madera,Madera
6.0,51.0,1.0,1.0,1.0,1.0,5.0,37.64571,-118.96652,California,Mono,Mammoth Lakes
6.0,51.0,1.0,nan,nan,nan,6.0,37.64571,-118.96652,California,Mono,Mammoth Lakes
6.0,51.0,5.0,2.0,2.0,2.0,4.0,37.962069,-119.120278,California,Mono,Not in a City
6.0,51.0,11.0,1.0,1.0,1.0,3.0,38.069711,-118.947738,California,Mono,Not in a City
6.0,59.0,7.0,1.0,1.0,1.0,1.0,33.83062,-117.93845,California,Orange,Anaheim
6.0,59.0,7.0,nan,nan,nan,3.0,33.83062,-117.93845,California,Orange,Anaheim
6.0,61.0,6.0,1.0,1.0,2.0,3.0,38.74643,-121.26498,California,Placer,Roseville
6.0,65.0,12.0,1.0,1.0,1.0,1.0,33.92086,-116.85841,California,Riverside,Banning
6.0,65.0,500.0,1.0,1.0,1.0,1.0,33.71969,-116.1897,California,Riverside,Indio
6.0,65.0,1999.0,1.0,1.0,1.0,1.0,33.56125,-116.153383,California,Riverside,Torres-Martinez I.R.
6.0,65.0,8001.0,1.0,1.0,1.0,2.0,33.99958,-117.41601,California,Riverside,Rubidoux
6.0,65.0,8001.0,nan,nan,nan,3.0,33.99958,-117.41601,California,Riverside,Rubidoux
6.0,65.0,8001.0,nan,nan,nan,4.0,33.99958,-117.41601,California,Riverside,Rubidoux
6.0,67.0,6.0,1.0,1.0,1.0,1.0,38.613779,-121.368014,California,Sacramento,Arden-Arcade
6.0,67.0,6.0,nan,nan,nan,2.0,38.613779,-121.368014,California,Sacramento,Arden-Arcade
6.0,67.0,10.0,1.0,1.0,2.0,4.0,38.56844,-121.49311,California,Sacramento,Sacramento
6.0,71.0,5.0,1.0,1.0,1.0,1.0,34.2431,-117.27235,California,San Bernardino,Crestline
6.0,73.0,1.0,1.0,1.0,1.0,2.0,32.631242,-117.059088,California,San Diego,Chula Vista
6.0,73.0,1014.0,1.0,1.0,1.0,1.0,32.57816,-116.92135,California,San Diego,Otay Mesa
